"manufacturer","cars","sell_through_rate","avg_days_online","avg_margin_eur","avg_margin_pct","below_market_pct"
"Volkswagen","175","0.400","227.2","4182.98","31.88","0.583"
"BMW","89","0.449","214.1","4790.69","29.10","0.618"
"Mercedes-Benz","78","0.449","211.2","5231.22","26.68","0.628"
"Opel","78","0.615","150.8","4291.74","54.88","0.615"
"Ford","71","0.493","190.9","4456.09","40.23","0.592"
"Audi","60","0.450","206.2","4838.58","29.72","0.583"
"Skoda","58","0.431","212.9","4511.98","46.43","0.655"
"Hyundai","48","0.375","225.4","4118.69","43.66","0.625"
"Seat","43","0.442","210.0","4456.21","36.31","0.512"
"Renault","41","0.293","251.6","4083.34","50.11","0.561"
"Kia","29","0.586","172.8","3946.48","33.87","0.483"
"Toyota","24","0.542","177.9","3890.79","43.14","0.542"
"Smart","23","0.348","242.2","3951.78","60.17","0.478"
"Fiat","22","0.455","213.1","3913.36","61.48","0.318"
"Peugeot","21","0.571","177.7","4324.76","48.82","0.667"
"Dacia","19","0.526","173.0","4768.32","60.18","0.474"
"MINI","19","0.421","215.1","4521.11","44.56","0.579"
"Mazda","18","0.667","144.4","4190.44","33.90","0.611"
"Nissan","18","0.500","193.4","4311.39","52.37","0.444"
"Mitsubishi","12","0.500","199.9","4133.18","54.71","0.333"
"Citroen","11","0.636","135.2","4621.45","70.75","0.818"
"Volvo","9","0.556","178.7","4693.00","24.68","0.222"
"Jeep","9","0.111","316.1","5082.89","43.41","0.556"
"Suzuki","7","0.429","200.3","4800.71","36.65","0.571"
"Cupra","4","0.500","206.3","3802.00","14.79","0.250"
"Jaguar","3","0.000","345.3","5920.67","29.27","0.667"
"Land Rover","3","0.000","368.0","4505.67","20.58","0.333"
"Honda","3","0.333","240.0","3670.67","32.17","1.000"
"Alfa Romeo","2","0.500","196.5","3517.50","20.87","0.000"
"Subaru","1","1.000","75.0","1974.00","8.37","1.000"
"Ssangyong","1","1.000","3.0","4343.00","92.36","1.000"
